Restaurant Name,Country Code,City,Locality,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes,Country
Le Petit Souffle,162,Makati City,"Century City Mall, Poblacion, Makati City","French, Japanese, Desserts",1100,other_currency,Yes,No,No,No,3,4.8,Dark Green,Excellent,314,Phillipines
Izakaya Kikufuji,162,Makati City,"Little Tokyo, Legaspi Village, Makati City",Japanese,1200,other_currency,Yes,No,No,No,3,4.5,Dark Green,Excellent,591,Phillipines
Heat - Edsa Shangri-La,162,Mandaluyong City,"Edsa Shangri-La, Ortigas, Mandaluyong City","Seafood, Asian, Filipino, Indian",4000,other_currency,Yes,No,No,No,4,4.4,Green,Very Good,270,Phillipines
Ooma,162,Mandaluyong City,"SM Megamall, Ortigas, Mandaluyong City","Japanese, Sushi",1500,other_currency,No,No,No,No,4,4.9,Dark Green,Excellent,365,Phillipines
Sambo Kojin,162,Mandaluyong City,"SM Megamall, Ortigas, Mandaluyong City","Japanese, Korean",1500,other_currency,Yes,No,No,No,4,4.8,Dark Green,Excellent,229,Phillipines
Din Tai Fung,162,Mandaluyong City,"SM Megamall, Ortigas, Mandaluyong City",Chinese,1000,other_currency,No,No,No,No,3,4.4,Green,Very Good,336,Phillipines
Buffet 101,162,Pasay City,"SM by the Bay, Mall of Asia Complex, Pasay City","Asian, European",2000,other_currency,Yes,No,No,No,4,4.0,Green,Very Good,520,Phillipines
Vikings,162,Pasay City,"SM by the Bay, Mall of Asia Complex, Pasay City","Seafood, Filipino, Asian, European",2000,other_currency,Yes,No,No,No,4,4.2,Green,Very Good,677,Phillipines
Spiral - Sofitel Philippine Plaza Manila,162,Pasay City,"Sofitel Philippine Plaza Manila, Pasay City","European, Asian, Indian",6000,other_currency,Yes,No,No,No,4,4.9,Dark Green,Excellent,621,Phillipines
Locavore,162,Pasig City,Kapitolyo,Filipino,1100,other_currency,Yes,No,No,No,3,4.8,Dark Green,Excellent,532,Phillipines
Silantro Fil-Mex,162,Pasig City,Kapitolyo,"Filipino, Mexican",800,other_currency,No,No,No,No,3,4.9,Dark Green,Excellent,1070,Phillipines
Mad Mark's Creamery & Good Eats,162,Pasig City,Kapitolyo,"American, Ice Cream, Desserts",900,other_currency,Yes,No,No,No,3,4.2,Green,Very Good,488,Phillipines
